incident_number,count
TIX00397583,12
TIX00533105,1
TIX00362115,2
TIX00375661,1
TIX00413780,1
TIX00513952,2
TIX00507083,2
TIX00449376,1
TIX00410471,1
TIX00420101,1
TIX00569062,1
TIX00404937,14
TIX00622384,2
TIX00623824,2
TIX00521493,2
TIX00421796,1
TIX00384197,1
TIX00605558,1
TIX00359492,1
TIX00598463,1
TIX00617716,1
TIX00398312,1
TIX00448897,1
TIX00322515,1
TIX00536672,1
TIX00372692,1
TIX00555050,1
TIX00377214,1
TIX00331791,1
TIX00387636,1
TIX00504866,1
TIX00373651,1
TIX00398872,1
TIX00345739,3
TIX00374891,1
TIX00404624,1
TIX00416734,1
TIX00514023,4
TIX00370094,1
TIX00364481,1
TIX00375098,2
TIX00349541,1
TIX00335930,1
TIX00500921,1
TIX00440214,1
TIX00398963,1
TIX00380254,1
TIX00584944,1
TIX00545114,1
TIX00521945,1
TIX00374271,4
TIX00353323,1
TIX00376058,1
TIX00389204,1
TIX00357428,1
TIX00582919,1
TIX00611968,1
TIX00553995,1
TIX00345774,1
TIX00378001,10
TIX00454284,1
TIX00442111,1
TIX00448158,1
TIX00613617,1
TIX00420819,2
TIX00408063,3
TIX00366868,1
TIX00552797,2
TIX00551709,1
TIX00609330,2
TIX00606538,1
TIX00383454,1
TIX00455704,2
TIX00362974,1
TIX00619313,1
TIX00347623,1
TIX00575596,1
TIX00337252,1
TIX00398681,1
TIX00423557,1
TIX00510930,1
TIX00411769,1
TIX00428062,1
TIX00377504,1
TIX00326816,1
TIX00322570,1
TIX00333645,1
TIX00500977,1
TIX00442596,1
TIX00544371,1
TIX00390281,1
TIX00624338,1
TIX00401929,1
TIX00506913,1
TIX00513798,1
TIX00594034,1
TIX00538382,1
TIX00601057,1
TIX00559464,1
TIX00536842,1
TIX00605327,2
TIX00391484,1
TIX00568204,1
TIX00417560,1
TIX00589091,1
TIX00456644,1
TIX00368917,4
TIX00524617,1
TIX00410343,1
TIX00363494,1
TIX00590832,1
TIX00415686,1
TIX00510837,1
TIX00324084,1
TIX00396349,6
TIX00523313,7
TIX00381146,1
TIX00535186,1
TIX00540023,1
TIX00620308,1
TIX00370056,1
TIX00588679,1
TIX00338264,1
TIX00322714,1
TIX00405957,1
TIX00551706,1
TIX00511783,1
TIX00343368,1
TIX00400518,1
TIX00579899,1
TIX00589777,1
TIX00512761,1
TIX00564999,6
TIX00322311,1
TIX00320220,2
TIX00618055,1
TIX00594865,2
TIX00348155,1
TIX00448896,2
TIX00617491,1
TIX00522539,2
TIX00382948,1
TIX00327129,1
TIX00429036,1
TIX00581858,1
TIX00523472,1
TIX00511285,1
TIX00513923,1
TIX00568934,1
TIX00354758,1
TIX00613710,1
TIX00621593,1
TIX00308161,1
TIX00440059,1
TIX00398615,1
TIX00440594,7
TIX00549780,1
TIX00333612,1
TIX00525433,1
TIX00611735,1
TIX00398730,1
TIX00571868,2
TIX00416141,1
TIX00357835,26
TIX00552883,1
TIX00388607,1
TIX00531662,1
TIX00394676,1
TIX00435666,1
TIX00521783,1
TIX00519004,1
TIX00576788,1
TIX00601468,1
TIX00524015,1
TIX00543475,2
TIX00568308,1
TIX00504207,2
TIX00445960,1
TIX00359405,1
TIX00564699,1
TIX00508994,2
TIX00395269,10
TIX00412368,2
TIX00535137,1
TIX00544716,1
TIX00619399,1
TIX00319305,1
TIX00452112,1
TIX00609264,1
TIX00435368,1
TIX00567583,1
TIX00598213,1
TIX00537062,1
TIX00401062,1
TIX00395420,1
TIX00330641,1
TIX00536064,1
TIX00524055,1
TIX00458302,2
TIX00504722,1
TIX00506174,1
TIX00382169,1
TIX00544149,1
TIX00615251,1
TIX00604848,1
TIX00609892,1
TIX00564602,1
TIX00525990,1
TIX00389651,1
TIX00622906,1
TIX00446800,1
TIX00380264,1
TIX00339734,1
TIX00536463,1
TIX00551195,1
TIX00531886,3
TIX00593617,1
TIX00523447,1
TIX00352214,1
TIX00611626,1
TIX00398272,1
TIX00399233,1
TIX00549193,1
TIX00579267,1
TIX00370419,1
TIX00539436,1
TIX00518565,1
TIX00324051,1
TIX00575083,1
TIX00528266,1
TIX00384316,1
TIX00621174,1
TIX00612001,1
TIX00605215,2
TIX00600030,1
TIX00395431,3
TIX00449982,1
TIX00318678,1
TIX00443340,1
TIX00523508,1
TIX00361013,1
TIX00559093,1
TIX00616621,1
TIX00360516,1
TIX00359116,1
TIX00388385,1
TIX00356757,1
TIX00398600,1
TIX00407099,1
TIX00597678,1
TIX00620089,1
TIX00453685,1
TIX00577490,1
TIX00534389,1
TIX00550166,1
TIX00333642,1
TIX00603485,1
TIX00622409,1
TIX00532414,1
TIX00366362,1
TIX00559965,1
TIX00607566,1
TIX00565715,1
TIX00614043,1
TIX00413561,1
TIX00560379,1
TIX00333691,1
TIX00399542,1
TIX00351313,1
TIX00410258,1
TIX00435880,1
TIX00372718,3
TIX00542102,2
TIX00611093,1
TIX00395496,1
TIX00438078,1
TIX00569536,1
TIX00447989,1
TIX00609182,1
TIX00328715,1
TIX00589692,1
TIX00425657,1
TIX00522847,1
TIX00410365,1
TIX00432701,1
TIX00578576,1
TIX00414841,1
TIX00355515,1
TIX00616533,1
TIX00387232,1
TIX00409234,2
TIX00399922,2
TIX00597082,1
TIX00534093,2
TIX00549649,3
TIX00567647,1
TIX00533709,1
TIX00539044,1
TIX00614044,1
TIX00450812,1
TIX00443480,1
TIX00517539,3
TIX00551316,1
TIX00457670,1
TIX00410796,1
TIX00520596,1
TIX00328801,1
TIX00326075,3
TIX00607634,11
TIX00510812,1
TIX00432754,1
TIX00575950,1
TIX00527907,6
TIX00372865,1
TIX00601367,1
TIX00369061,1
TIX00377272,1
TIX00338488,1
TIX00599998,1
TIX00164164,1
TIX00398385,2
TIX00436309,1
TIX00565768,1
TIX00443879,1
TIX00580988,2
TIX00524766,1
TIX00622114,1
TIX00607193,1
TIX00421518,1
TIX00433683,1
TIX00548453,1
TIX00360066,1
TIX00606657,1
TIX00340074,1
TIX00588779,1
TIX00529453,1
TIX00332439,1
TIX00318507,1
TIX00414049,1
TIX00324985,1
TIX00607263,1
TIX00432634,1
TIX00585005,1
TIX00364970,1
TIX00572835,1
TIX00373487,2
TIX00591028,1
TIX00603712,1
TIX00347688,1
TIX00525070,1
TIX00618252,1
TIX00428590,1
TIX00544979,4
TIX00338717,1
TIX00341372,1
TIX00570343,9
TIX00508878,1
TIX00541973,1
TIX00614215,1
TIX00420748,3
TIX00520655,1
TIX00379188,1
TIX00510207,1
TIX00608486,6
TIX00503093,1
TIX00402107,2
TIX00319617,1
TIX00619459,1
TIX00326779,1
TIX00599486,1
TIX00329873,3
TIX00456162,3
TIX00438971,2
TIX00623165,1
TIX00527071,1
TIX00419952,1
TIX00598758,1
TIX00413467,1
TIX00435625,1
TIX00532054,1
TIX00582569,2
TIX00346664,1
TIX00554601,1
TIX00583990,1
TIX00520852,1
TIX00619264,1
TIX00346212,1
TIX00445208,1
TIX00510809,1
TIX00575190,1
TIX00520304,2
TIX00428469,1
TIX00622116,6
TIX00415174,1
TIX00437925,1
TIX00384329,10
TIX00523017,1
TIX00606807,1
TIX00570857,1
TIX00597734,1
TIX00520969,1
TIX00565171,1
TIX00567036,1
TIX00346950,1
TIX00333874,1
TIX00582974,1
TIX00551382,1
TIX00386852,1
TIX00413870,1
TIX00400149,5
TIX00338255,1
TIX00563087,1
TIX00567550,1
TIX00358675,1
TIX00534504,1
TIX00458034,1
TIX00400593,1
TIX00384294,1
TIX00613316,1
TIX00318693,3
TIX00357735,1
TIX00398035,1
TIX00617959,1
TIX00444766,1
TIX00594440,3
TIX00438448,1
TIX00613439,1
TIX00597077,1
TIX00566342,2
TIX00456658,2
TIX00590764,1
TIX00402302,1
TIX00337886,2
TIX00600226,1
TIX00558092,1
TIX00361579,1
TIX00336957,1
TIX00415388,1
TIX00542791,1
TIX00364535,1
TIX00552716,1
TIX00379748,1
TIX00548861,3
TIX00587225,1
TIX00574830,2
TIX00328778,1
TIX00545707,2
TIX00418937,1
TIX00424796,1
TIX00455177,1
TIX00448595,4
TIX00368885,1
TIX00320616,1
TIX00438051,2
TIX00511461,2
TIX00533665,1
TIX00448805,1
TIX00406275,1
TIX00422062,1
TIX00457618,1
TIX00365649,3
TIX00334005,1
TIX00618857,1
TIX00395644,7
TIX00340065,1
TIX00569106,1
TIX00360043,1
TIX00603577,1
TIX00361682,1
TIX00618865,1
TIX00551130,1
TIX00511790,1
TIX00354471,1
TIX00374057,1
TIX00371718,1
TIX00562685,1
TIX00406144,1
TIX00446206,1
TIX00322960,1
TIX00355864,1
TIX00523787,1
TIX00617950,1
TIX00347283,1
TIX00583848,1
TIX00556012,1
TIX00610934,2
TIX00547897,1
TIX00340575,2
TIX00402560,6
TIX00333750,1
TIX00584754,3
TIX00455347,1
TIX00325430,1
TIX00352330,1
TIX00598426,1
TIX00503855,1
TIX00372713,3
TIX00348166,1
TIX00595720,1
TIX00592723,1
TIX00351004,1
TIX00448937,1
TIX00592176,1
TIX00371457,1
TIX00556157,3
TIX00505891,1
TIX00423644,1
TIX00579740,1
TIX00611828,1
TIX00392478,2
TIX00601492,12
TIX00356752,1
TIX00608083,1
TIX00549947,2
TIX00572574,1
TIX00422423,1
TIX00353229,1
TIX00529267,1
TIX00328910,1
TIX00579062,1
TIX00541512,2
TIX00524778,1
TIX00413155,1
TIX00439455,1
TIX00588531,1
TIX00418646,1
TIX00572290,1
TIX00324917,1
TIX00329552,1
TIX00318821,1
TIX00505624,1
TIX00524418,1
TIX00405940,1
TIX00528992,1
TIX00399164,1
TIX00607835,1
TIX00326982,1
TIX00510773,1
TIX00504101,1
TIX00404399,1
TIX00377858,3
TIX00442937,3
TIX00606135,1
TIX00334019,1
TIX00345421,3
TIX00593632,1
TIX00525824,1
TIX00424156,2
TIX00391325,1
TIX00384025,1
TIX00583246,1
TIX00398541,1
TIX00445330,1
TIX00552341,1
TIX00524053,1
TIX00326989,1
TIX00353866,1
TIX00619598,1
TIX00424665,1
TIX00585609,1
TIX00595413,2
TIX00532965,1
TIX00606631,1
TIX00342700,1
TIX00365385,1
TIX00528210,1
TIX00574945,1
TIX00450622,1
TIX00600789,1
TIX00420849,4
TIX00624695,5
TIX00603060,2
TIX00524850,1
TIX00622545,1
TIX00532571,5
TIX00343487,1
TIX00192165,1
TIX00518105,1
TIX00339557,1
TIX00355798,1
TIX00609507,1
TIX00624409,1
TIX00612234,1
TIX00425733,1
TIX00364232,1
TIX00389535,1
TIX00407844,1
TIX00545644,1
TIX00351168,3
TIX00353222,1
TIX00399794,1
TIX00502578,1
TIX00584857,1
TIX00515584,1
TIX00336864,2
TIX00600803,5
TIX00406861,1
TIX00326549,1
TIX00523123,1
TIX00418835,1
TIX00409625,1
TIX00542585,1
TIX00536749,1
TIX00404893,1
TIX00442794,1
TIX00577573,2
TIX00388654,1
TIX00408147,1
TIX00387446,1
TIX00557034,3
TIX00393473,1
TIX00447945,1
TIX00381598,1
TIX00375877,4
TIX00576502,1
TIX00340255,1
TIX00321712,1
TIX00597906,1
TIX00438565,1
TIX00392506,1
TIX00424821,2
TIX00566378,1
TIX00325053,3
TIX00367871,1
TIX00375660,1
TIX00455761,1
TIX00552933,1
TIX00403571,2
TIX00354223,1
TIX00509385,1
TIX00357250,1
TIX00542007,6
TIX00523721,1
TIX00578696,2
TIX00381205,1
TIX00342254,2
TIX00444368,1
TIX00543685,1
TIX00568267,1
TIX00361655,1
TIX00321838,2
TIX00601344,1
TIX00388037,1
TIX00559461,1
TIX00426341,1
TIX00449237,1
TIX00321067,1
TIX00408176,1
TIX00601705,3
TIX00414959,1
TIX00380648,1
TIX00609899,2
TIX00351993,1
TIX00341158,1
TIX00433526,1
TIX00339209,2
TIX00515198,1
TIX00540824,1
TIX00446499,1
TIX00619187,1
TIX00410909,1
TIX00367653,3
TIX00324882,1
TIX00386160,8
TIX00284493,1
TIX00362864,1
TIX00563711,1
TIX00534691,1
TIX00571740,1
TIX00369929,1
TIX00536750,1
TIX00403689,4
TIX00531460,1
TIX00513662,1
TIX00457825,1
TIX00449331,1
TIX00563528,1
TIX00566025,5
TIX00546134,1
TIX00381504,2
TIX00595446,3
TIX00593113,1
TIX00328975,1
TIX00377908,1
TIX00439084,3
TIX00523628,2
TIX00359967,1
TIX00342194,1
TIX00602999,1
TIX00508405,1
TIX00434441,1
TIX00588040,1
TIX00450984,1
TIX00615355,1
TIX00596269,1
TIX00389524,1
TIX00347439,1
TIX00621201,4
TIX00418405,1
TIX00617468,1
TIX00450273,1
TIX00616316,1
TIX00567291,1
TIX00541221,1
TIX00452482,1
TIX00550417,1
TIX00432994,1
TIX00516898,1
TIX00616149,1
TIX00380094,1
TIX00389250,3
TIX00603122,1
TIX00359048,3
TIX00345040,1
TIX00510279,1
TIX00357402,1
TIX00320356,1
TIX00298455,1
TIX00419020,1
TIX00574982,1
TIX00576852,1
TIX00325889,1
TIX00386644,1
TIX00416630,1
TIX00356437,2
TIX00568587,1
TIX00342911,1
