Tenant Name,Test Case Id,Scripts,Execution Time,Result,Errors/Message,Individual Results,Group,Module,Category
tjx,ITSA_FUNCTIONAL_89,[POST] d_change_task_change_task_number_mysql.sql,0.22 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_90,[POST] f_change_task_changed_by_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_91,[POST] d_change_task_backlog_flag_mysql.sql,1 min 18 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_92,[POST] d_change_task_created_on_mysql.sql,0.18 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_93,[POST] d_change_task_source_id_mysql.sql,0.13 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_94,[POST] f_change_task_assigned_to_key_mysql.sql,0.92 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_95,[POST] f_change_task_change_request_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.change_request_id' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_96,[POST] d_change_task_approval_src_key_mysql.sql,0.47 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_97,[POST] f_change_task_parent_age_at_task_closure_mysql.sql,0.15 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_98,[POST] f_change_task_update_count_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_99,[POST] f_change_task_change_task_id_mysql.sql,2 min 56 sec,FAILURE,[Error] MDS to DWH data validation failed for f_change_task.change_task_id,,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_100,[POST] d_change_task_knowledge_flag_mysql.sql,0.17 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_101,[POST] d_change_task_work_end_on_mysql.sql,0.17 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_102,[POST] d_change_task_approval_src_code_mysql.sql,0.16 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_103,[POST] d_change_task_impact_src_key_mysql.sql,0.31 sec,SUCCESS,[Message] SUCCESS,,,,
