name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
5cg90103l4-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103m5-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90103s6-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90105qj-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9010nw7-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9010nxk-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9010nzg-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90114mq-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114n8-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114ng-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114nk-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114px-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114qd-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114qm-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114sy-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114tj-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90114tq-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114tw-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90114vb-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90114xj-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90114xy-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg90114y8-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
